Campaign,count
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",90
"We the Undersigned: Black South Carolinians Petition for Equal Rights, 1865",112
Down to Raisins: The Remaining Letters to Lincoln,503
Journey Across Mexico: Benajah Jay Antrim Journals and Sketchbooks,517
Artistic Trio: Georgia O’Keeffe & Alfred Stieglitz letters to Henwar Rodakiewicz,584
Ordinary Lives in George Washington’s Papers,593
Christian Fleetwood Papers,1072
Women's Suffrage in Sheet Music,1563
Rosa Parks: In Her Own Words,1769
Branch Rickey: Changing the Game,1926
James A. Garfield Diary: “His Confidential Friend”,2462
Brothers in Arms: The Gladstone Afro-American Military Collection,3098
War Diaries of George S. Patton,3281
Elizabeth Cady Stanton Papers,3456
"Chicago 1977: People, Places, and Cultures",3656
"Seers, Spiritualists, and the Spirit World: The experiments of Frederick Hockley",4656
"""Such Eventful Times"": Women and the American Civil War",4670
"""Mr. President: What Will You Do for Woman Suffrage?"": Woodrow Wilson’s File 89",4937
Susan B. Anthony Papers,5156
"Civil War Soldiers: ""Disabled but not disheartened""",5589
Carrie Chapman Catt Papers,5760
Theater for the People: Federal Theatre Project playbills,7761
Information and Disinformation: The World War II Rumor Project,9189
At the Library and in the Field: John and Alan Lomax Papers,9521
Historical Legal Reports from the Law Library of Congress,9807
"Yours Truly, Frederick Douglass",9828
African American Perspectives In Print,10858
The Man Who Recorded the World: On the Road with Alan Lomax,11601
"Leonard Bernstein: Writings By, From, and To",15810
Anna E. Dickinson Papers,16939
Mary Church Terrell: Advocate for African Americans and Women,24936
Letters to Lincoln,28313
"Civil War Justice: The Correspondence of Joseph Holt, Judge Advocate General",32070
Organizing for Women’s Suffrage: The NAWSA Records,41130
The Blackwells: An Extraordinary Family,44746
American Creativity: Early Copyright Title Pages,97118
