Campaign,campaign_unique_word_count
"We the Undersigned: Black South Carolinians Petition for Equal Rights, 1865",2385
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",2536
Artistic Trio: Georgia O’Keeffe & Alfred Stieglitz letters to Henwar Rodakiewicz,2683
Down to Raisins: The Remaining Letters to Lincoln,3063
Journey Across Mexico: Benajah Jay Antrim Journals and Sketchbooks,4188
Ordinary Lives in George Washington’s Papers,4669
Branch Rickey: Changing the Game,5935
Women's Suffrage in Sheet Music,11114
"Seers, Spiritualists, and the Spirit World: The experiments of Frederick Hockley",14470
War Diaries of George S. Patton,16376
Information and Disinformation: The World War II Rumor Project,18373
Christian Fleetwood Papers,18590
Elizabeth Cady Stanton Papers,20005
Susan B. Anthony Papers,20209
Rosa Parks: In Her Own Words,20685
James A. Garfield Diary: “His Confidential Friend”,21280
"Chicago 1977: People, Places, and Cultures",21576
"""Mr. President: What Will You Do for Woman Suffrage?"": Woodrow Wilson’s File 89",25456
"Civil War Soldiers: ""Disabled but not disheartened""",26390
"""Such Eventful Times"": Women and the American Civil War",26822
Brothers in Arms: The Gladstone Afro-American Military Collection,29597
"Yours Truly, Frederick Douglass",32348
Carrie Chapman Catt Papers,36773
Theater for the People: Federal Theatre Project playbills,38156
At the Library and in the Field: John and Alan Lomax Papers,40970
Historical Legal Reports from the Law Library of Congress,45850
Anna E. Dickinson Papers,47121
The Man Who Recorded the World: On the Road with Alan Lomax,51405
African American Perspectives In Print,51748
"Leonard Bernstein: Writings By, From, and To",56824
"Civil War Justice: The Correspondence of Joseph Holt, Judge Advocate General",68219
Letters to Lincoln,75541
American Creativity: Early Copyright Title Pages,120136
Mary Church Terrell: Advocate for African Americans and Women,120151
Organizing for Women’s Suffrage: The NAWSA Records,176864
The Blackwells: An Extraordinary Family,180075
