ContributorNames,count
"Lomax, John A. (John Avery), 1867-1948 (Creator)",4261
"Lomax, Alan, 1915-2002 (Creator)",4261
"Library of Congress. Law Library, issuing body",4430
"Hockley, Frederick, 1808-1885.",4656
Harry Houdini Collection (Library of Congress),4656
"Wilson, Woodrow, 1856-1924",4937
"Anthony, Susan B. (Susan Brownell), 1820-1906",5156
"Bourne, Wm. Oland (William Oland), 1819-1901",5589
"Catt, Carrie Chapman, 1859-1947",5760
Federal Theatre Project (U.S.),7761
"Douglass, Frederick, 1818-1895",9987
"Lomax, Alan, 1915-2002 (Collector)",11601
"Bernstein, Leonard, 1918-1990",15810
"Dickinson, Anna E. (Anna Elizabeth), 1842-1932",16939
"Terrell, Mary Church, 1863-1964",24936
"Lincoln, Abraham, 1809-1865",28779
"Joseph Holt papers, 1797-1917",32070
National American Woman Suffrage Association,41121
Blackwell family,44746
Early Copyright Records Collection (Library of Congress),97118
