Number of Pages (Assets),Word Count
22324,0
183978,1-99
86190,100-199
53726,200-299
25356,300-399
13202,400-499
9414,500-599
7130,600-699
5347,700-799
3984,800-899
2704,900-999
1937,1000-1099
1585,1100-1199
1292,1200-1299
1015,1300-1399
717,1400-1499
644,1500-1599
496,1600-1699
454,1700-1799
399,1800-1899
317,1900-1999
303,2000-2099
262,2100-2199
244,2200-2299
205,2300-2399
164,2400-2499
155,2500-2599
135,2600-2699
127,2700-2799
117,2800-2899
94,2900-2999
95,3000-3099
88,3100-3199
66,3200-3299
52,3300-3399
49,3400-3499
35,3500-3599
39,3600-3699
51,3700-3799
38,3800-3899
39,3900-3999
35,4000-4099
30,4100-4199
34,4200-4299
25,4300-4399
21,4400-4499
26,4500-4599
23,4600-4699
20,4700-4799
20,4800-4899
22,4900-4999
14,5000-5099
14,5100-5199
19,5200-5299
13,5300-5399
14,5400-5499
15,5500-5599
13,5600-5699
5,5700-5799
11,5800-5899
18,5900-5999
5,6000-6099
8,6100-6199
5,6200-6299
8,6300-6399
2,6400-6499
7,6500-6599
3,6600-6699
5,6700-6799
3,6800-6899
2,6900-6999
4,7000-7099
3,7100-7199
3,7200-7299
5,7300-7399
7,7400-7499
0,7500-7599
3,7600-7699
1,7700-7799
3,7800-7899
2,7900-7999
2,8000-8099
3,8100-8199
2,8200-8299
0,8300-8399
1,8400-8499
1,8500-8599
3,8600-8699
2,8700-8799
2,8800-8899
2,8900-8999
0,9000-9099
2,9100-9199
0,9200-9299
1,9300-9399
2,9400-9499
1,9500-9599
1,9600-9699
0,9700-9799
0,9800-9899
1,9900-9999
0,10000-10099
0,10100-10199
0,10200-10299
1,10300-10399
2,10400-10499
0,10500-10599
0,10600-10699
1,10700-10799
1,10800-10899
0,10900-10999
0,11000-11099
0,11100-11199
1,11200-11299
0,11300-11399
1,11400-11499
0,11500-11599
0,11600-11699
0,11700-11799
0,11800-11899
0,11900-11999
